1	1	x	0	0
1.25	1	x	0	0
1.5	1	x	0	0
1.75	1	x	0	0
2	1	x	0	0
2.25	1	x	0	0
2.5	1	x	0	0
2.75	1	x	0	0
3	1	x	75	0
3.25	1	x	100	0
3.5	1	x	100	0
3.75	1	x	200	0
4	1	x	262	0
4.25	1	x	362	0
4.5	1	x	311	0
4.75	1	x	386	0
5	1	x	349	0
5.25	1	x	424	0
5.5	1	x	348	0
5.75	1	x	418	0
6	1	x	437	0
6.25	1	x	612	0
6.5	1	x	486	0
6.75	1	x	561	0
7	1	unison bonus -.5 + 3.75 b whammy	411	300
7.25	1	x	436	400
7.5	1	x	336	300
7.75	1	x	429	600
8	1	drum act	627	0
8.25	1	x	812	0
8.5	1	x	667	0
8.75	1	x	789	0
9	1	x	603	0
9.25	1	x	665	0
9.5	1	x	510	0
9.75	1	vox od	449	0
10	1	x	903	0
10.25	1	x	967	0
10.5	1	x	1077	0
10.75	1	x	1034	0
11	1	bass od + 7.625 whammy	826	300
11.25	1	x	904	400
11.5	1	vox od	372	300
11.75	1	x	651	600
12	1	drum act	1124	0
12.25	1	x	1210	0
12.5	1	x	1179	0
12.75	1	x	1077	0
13	1	guitar od -.5	776	0
13.25	1	x	827	0
13.5	1	x	920	0
13.75	1	x	614	0
14	1	drum od -.5	1115	0
14.25	1	x	1272	0
14.5	1	x	1144	0
14.75	1	x	1078	0
15	1	x	1228	300
15.25	1	x	854	400
15.5	1	x	798	300
15.75	1	x	1172	600
16	1	drum act	1006	0
16.25	1	x	836	0
16.5	1	x	608	0
16.75	1	x	733	0
17	1	guitar od -.5	1075	0
17.25	1	x	1559	0
17.5	1	x	1538	0
17.75	1	bass od -.5 + 3.75 whammy	1795	0
18	1	vox od	711	0
18.25	1	x	836	0
18.5	1	x	708	0
18.75	1	x	1172	0
19	1	x	2077	300
19.25	1	x	1313	400
19.5	1	x	1599	300
19.75	1	vox od	964	600
20	1	drum act	935	0
20.25	1	x	1458	0
20.5	1	x	1153	0
20.75	1	x	1548	0
21	1	x	1287	0
21.25	1	unison bonus + 3.625 b whammy	1235	0
21.5	1	x	1062	0
21.75	1	vox od	920	0
22	1	x	1469	0
22.25	1	x	1447	0
22.5	1	x	1017	0
22.75	1	x	1386	0
23	1	x	1111	300
23.25	1	x	1454	400
23.5	1	x	1037	300
23.75	1	x	868	600
24	1	drum act	1146	0
24.25	1	x	1716	0
24.5	1	x	1409	0
24.75	1	x	1592	0
25	1	guitar od -.5	1212	0
25.25	1	x	1246	0
25.5	1	x	1054	0
25.75	1	vox od	1000	0
26	1	drum od -.5	749	0
26.25	1	x	1293	0
26.5	1	x	914	0
26.75	1	x	1207	0
27	1	bass od -.5 + 2.25 whammy	1027	300
27.25	1	x	1153	400
27.5	1	x	937	300
27.75	1	x	1101	600
28	1	drum act	1179	0
28.25	1	x	1153	0
28.5	1	x	1073	0
28.75	1	x	610	0
29	1	bass od + 6.125 whammy	722	0
29.25	1	x	696	0
29.5	1	x	636	0
29.75	1	x	610	0
30	1	x	747	0
30.25	1	x	721	0
30.5	1	x	661	0
30.75	1	x	635	0
31	1	x	695	300
31.25	1	x	545	400
31.5	1	x	445	300
31.75	1	x	535	600
32	1	drum act	847	0
32.25	1	x	897	0
32.5	1	x	741	0
32.75	1	x	791	0
33	1	x	695	0
33.25	1	x	545	0
33.5	1	x	589	0
33.75	1	x	527	0
34	1	x	847	0
34.25	1	x	897	0
34.5	1	x	841	0
34.75	1	x	791	0
35	1	x	695	0
35.25	1	x	545	0
35.5	1	x	420	0
35.75	1	x	72	0
